Sample	Coverage	FNR_Value	Hausdorff_Distance	Frechet_Distance	SSE	SSE_log10	Distance_Scale
gr_wolf.spain.SAMN04851099	5.0	0.22	501930793.51495737	533534339.6633904	130685311159.65082	10.987425482073677	psmc
gr_wolf.spain.SAMN04851099	5.0	0.23	496720698.6453824	530156981.61551225	129067044434.17076	10.84226152620974	psmc
gr_wolf.spain.SAMN04851099	5.0	0.24	491373496.01608187	526690745.72426903	127490358344.69325	10.703442876052685	psmc
gr_wolf.spain.SAMN04851099	5.0	0.25	485883701.3166666	523132076.87592596	125886792614.34045	10.564474219182719	psmc
gr_wolf.spain.SAMN04851099	5.0	0.26	480245533.7875375	519477227.7884385	123780181026.79845	10.38077135449866	psmc
gr_wolf.spain.SAMN04851099	5.0	0.27	474452895.91514456	515722245.849239	121314375987.9037	10.18011290565905	psmc
gr_wolf.spain.SAMN04851099	5.0	0.28	468499351.43518513	511862958.85617286	119511282716.28362	10.037494985279864	psmc
gr_wolf.spain.SAMN04851099	5.0	0.29	462378101.476917	507894959.5534429	117216572125.04071	9.717032393351321	psmc
gr_wolf.spain.SAMN04851099	5.0	0.3	456081958.6626983	503813588.8420635	115512412236.72218	9.580669387153181	psmc
gr_wolf.spain.SAMN04851099	5.0	0.31	449603318.955314	499613917.53035426	113757703114.8048	9.445008949379531	psmc
gr_wolf.spain.SAMN04851099	5.0	0.32	442934131.0212418	495290726.474183	111506258083.08397	9.268867332021642	psmc
gr_wolf.spain.SAMN04851099	5.0	0.33	436065862.8503316	490838484.9387231	108786753964.08502	9.075092661295846	psmc
gr_wolf.spain.SAMN04851099	5.0	0.34	428989465.34090894	486134169.9223905	106725199331.92448	8.927968785131718	psmc
gr_wolf.spain.SAMN04851099	5.0	0.35	421695332.5235042	481523025.7260684	104187182482.4356	8.55885857551275	psmc
gr_wolf.spain.SAMN04851099	5.0	0.36	414173258.0555555	476646965.0444445	102226677366.05177	8.420529830932477	psmc
gr_wolf.spain.SAMN04851099	5.0	0.37	406412387.5727513	471616108.7856261	100306644085.48915	8.292182159895704	psmc
gr_wolf.spain.SAMN04851099	5.0	0.38	398401166.4292114	466422966.8410394	97245972378.57068	8.08547830019698	psmc
gr_wolf.spain.SAMN04851099	5.0	0.39	390127282.29735875	461059557.94745	94836923104.63657	7.936645075725531	psmc
gr_wolf.spain.SAMN04851099	5.0	0.4	381577602.0277778	455517368.7574075	92014520889.1005	7.521587814392086	psmc
gr_wolf.spain.SAMN04851099	5.0	0.41	372738102.0880414	449787308.7473635	89922462856.61078	7.388044413516561	psmc
gr_wolf.spain.SAMN04851099	5.0	0.42	363593791.8055556	443859660.4611111	87874695707.09694	7.2662658952769785	psmc
gr_wolf.spain.SAMN04851099	5.0	0.43	354128628.53070176	437724024.5156921	84662467475.87273	7.075844473770225	psmc
gr_wolf.spain.SAMN04851099	5.0	0.44	344325423.7103175	431369258.7150794	82019663049.98915	6.929771580717184	psmc
gr_wolf.spain.SAMN04851099	5.0	0.45	335680103.4777778	424783410.52171725	78858499825.35127	6.459182706291727	psmc
gr_wolf.spain.SAMN04851099	5.0	0.46	337290418.94320995	417953642.0248972	76558132692.90497	6.32990321861377	psmc
gr_wolf.spain.SAMN04851099	5.0	0.47	335908721.4819706	410866146.4149896	74352159890.72467	6.214130575291495	psmc
gr_wolf.spain.SAMN04851099	5.0	0.48	338683778.3538461	403506054.8200855	70752581081.73897	6.026757651702164	psmc
gr_wolf.spain.SAMN04851099	5.0	0.49	337274016.1472767	395857332.18224406	68475788035.37549	5.924863229354067	psmc
gr_wolf.spain.SAMN04851099	5.0	0.5	338481119.3888889	387902660.63888896	64682880419.32675	5.388994712778876	psmc
gr_wolf.spain.SAMN04851099	5.0	0.51	338583021.62743765	379623308.6243765	62508746730.86706	5.286354533981099	psmc
gr_wolf.spain.SAMN04851099	5.0	0.52	338464207.662963	370998983.6092593	58930031462.404884	5.122526498458758	psmc
gr_wolf.spain.SAMN04851099	5.0	0.53	337921537.3359338	361843147.60059106	56303024336.40052	5.006786748319004	psmc
gr_wolf.spain.SAMN04851099	5.0	0.54	338008869.11497575	352625421.6205314	52278861495.81994	4.43291444115974	psmc
